,Position,Company,Experience,Salary,Used Technologies,Optional Technologies,Salary_Min,Salary_Max,Parsed Used Technologies
350,Informatica Data Governance Developer,Scalo Sp. z o.o.,mid,20800 25600,Informatica (Data Governance/Data Quality),znajomość branży automotive,20800,25600.0,['Informatica (Data Governance/Data Quality)']
351,Workstation Environment Specialist,B2B.NET S.A.,mid,8000 11200,"Microsoft Azure, MECM, Microsoft Intune, PowerShell",,8000,11200.0,"['Microsoft Azure', 'MECM', 'Microsoft Intune', 'PowerShell']"
353,Business Analyst,YETIFORCE S.A.,mid,10000 14000,Jira,,10000,14000.0,['Jira']
354,Inżynier elektronik (junior),Carl Zeiss IQS Software R&D Center Sp. z o.o.,junior,6000 9000,,"ARM Cortex M3/M7, SPICE, CAN, EtherCAT, SPI, FPGA",6000,9000.0,[]
355,Inżynier elektronik (mid),Carl Zeiss IQS Software R&D Center Sp. z o.o.,mid,8000 12000,,"ARM Cortex M3/M7, SPICE, CAN, EtherCAT, SPI, FPGA",8000,12000.0,[]
356,Inżynier elektronik (senior),Carl Zeiss IQS Software R&D Center Sp. z o.o.,senior,11000 15000,,"ARM Cortex M3/M7, SPICE, CAN, EtherCAT, SPI, FPGA",11000,15000.0,[]
363,Presale Solution Architect,INFOGAIN TECHNOLOGIES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,mid,24000 30000,"Microsoft Azure, AWS, Google Cloud Platform, Python",,24000,30000.0,"['Microsoft Azure', 'AWS', 'Google Cloud Platform', 'Python']"
364,React Frontend,INFOGAIN TECHNOLOGIES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,mid,21000 31000,JavaScript,,21000,31000.0,['JavaScript']
367,Scrum Master (Salesforce Project Manager),INFOGAIN TECHNOLOGIES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,mid,20800 25600,Salesforce,,20800,25600.0,['Salesforce']
370,Senior Payments Software Developer,INFOGAIN TECHNOLOGIES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,senior,22400 28800,"Java, Gradle, Maven, Spring Boot, RabbitMQ, Kafka, SQL",,22400,28800.0,"['Java', 'Gradle', 'Maven', 'Spring Boot', 'RabbitMQ', 'Kafka', 'SQL']"
373,Elixir Developer,LLINFORMATICS,mid,14000 22000,"Elixir, AWS, Heroku, PostgreSQL",RabbitMQ,14000,22000.0,"['Elixir', 'AWS', 'Heroku', 'PostgreSQL']"
376,Elixir Developer,LLINFORMATICS,mid,14000 22000,"Elixir, AWS, Heroku, PostgreSQL",RabbitMQ,14000,22000.0,"['Elixir', 'AWS', 'Heroku', 'PostgreSQL']"
377,Java Developer,LLINFORMATICS,mid,17000 25000,"Java, Spring Boot, PostgreSQL, AWS",,17000,25000.0,"['Java', 'Spring Boot', 'PostgreSQL', 'AWS']"
378,DevOps Engineer,LLINFORMATICS,mid,19000 25000,"AWS, Microsoft Azure, Terraform, Docker","Packer, Ansible, Chef, Java, Ruby, Elixir",19000,25000.0,"['AWS', 'Microsoft Azure', 'Terraform', 'Docker']"
379,C++ Developer,ITFS sp. z o.o.,mid,16000 20800,C++,"Linux, Google Cloud Platform",16000,20800.0,['C++']
382,Senior Java Developer,INFOGAIN TECHNOLOGIES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,senior,21000 31000,Java,,21000,31000.0,['Java']
383,Help Desk Specialist,ITHOUSE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,mid,10400 12800,"Zabbix, Cisco, SCCM, ECM, GLPI, Redmine",,10400,12800.0,"['Zabbix', 'Cisco', 'SCCM', 'ECM', 'GLPI', 'Redmine']"
396,Magento Developer,Polcode Sp. z o.o.,,13000 21000,,,13000,21000.0,[]
401,Support Engineer (with Java),SILENT EIGHT PTE. LTD.,mid,12000 19000,"Java, Linux, Jira, Java 11, Spring Boot, PostgreSQL, Docker",,12000,19000.0,"['Java', 'Linux', 'Jira', 'Java 11', 'Spring Boot', 'PostgreSQL', 'Docker']"
409,Senior Konsultant SAP,Aequitas Polska Sp. z o.o.,senior,20000 28000,"SAP HANA, SAP",,20000,28000.0,"['SAP HANA', 'SAP']"
417,Standard Angular Developer (DH),Lufthansa Systems,mid,8000 16000,"Angular, HTTP, HTML5, CSS3, RestAPI, NgRx, JavaScript, UX/UI","React.js, Vue.js, Java SE, Jira, CI/CD",8000,16000.0,"['Angular', 'HTTP', 'HTML5', 'CSS3', 'RestAPI', 'NgRx', 'JavaScript', 'UX/UI']"
418,DevOps Engineer (DH),Lufthansa Systems,senior,10000 29400,"Jenkins, Docker, Kubernetes, Kibana, Prometheus, Grafana",Azure DevOps,10000,29400.0,"['Jenkins', 'Docker', 'Kubernetes', 'Kibana', 'Prometheus', 'Grafana']"
