,Position,Company,Experience,Salary,Used Technologies,Optional Technologies,Salary_Min,Salary_Max,Parsed Used Technologies
655,Senior Frontend / Fullstack Developer,Consdata S.A.,senior,14900 27220,"Angular, TypeScript, Java, Spring Framework, IntelliJ, Git, Docker, OpenShift",,14900,27220.0,"['Angular', 'TypeScript', 'Java', 'Spring Framework', 'IntelliJ', 'Git', 'Docker', 'OpenShift']"
656,Senior Fullstack Developer (Java+Angular),Consdata S.A.,senior,14900 27220,"Java, Spring Framework, Angular, PostgreSQL, MongoDB, Docker","Kafka, OpenShift",14900,27220.0,"['Java', 'Spring Framework', 'Angular', 'PostgreSQL', 'MongoDB', 'Docker']"
657,Senior Java Developer,Consdata S.A.,senior,14900 27220,"Java, Spring Framework, Docker, Git, TypeScript, MongoDB","Kafka, OpenShift",14900,27220.0,"['Java', 'Spring Framework', 'Docker', 'Git', 'TypeScript', 'MongoDB']"
666,Senior Software Engineer - Adobe Experience Manager (AEM),Lufthansa Systems,senior,10000 29400,"Java, Adobe, Microservices, RESTful services, DevOps tools, SQL, NoSql, Azure DevOps",,10000,29400.0,"['Java', 'Adobe', 'Microservices', 'RESTful services', 'DevOps tools', 'SQL', 'NoSql', 'Azure DevOps']"
667,Business Analyst,STS S.A.,mid,8000 12000,"Jira, Confluence, Miro",,8000,12000.0,"['Jira', 'Confluence', 'Miro']"
678,PL/SQL Developer,JellyTech,mid,16000 20100,"PL/SQL, Oracle","Oracle Apex, JSON, REST API",16000,20100.0,"['PL/SQL', 'Oracle']"
679,Senior Frontend Developer (Angular),JellyTech,mid,21000 26000,"Angular, Jenkins, GitLab, Github, Bitbucket, Jira, Confluence",,21000,26000.0,"['Angular', 'Jenkins', 'GitLab', 'Github', 'Bitbucket', 'Jira', 'Confluence']"
680,Senior Python Developer,JellyTech,senior,20000 23500,"Python, FastAPI, Celery, pytest, SQL Alchemy, Boto3, Keycloak, AWS, Docker, Kubernetes, Helm",,20000,23500.0,"['Python', 'FastAPI', 'Celery', 'pytest', 'SQL Alchemy', 'Boto3', 'Keycloak', 'AWS', 'Docker', 'Kubernetes', 'Helm']"
681,Senior DevOps Engineer,TKH Technology Poland Sp. z o.o.,,20000 25000,,,20000,25000.0,[]
683,Fullstack Java Developer,Novaris Sp. z o.o.,mid,22000 26000,"Java, Spring Boot, Spring Framework, Oracle",,22000,26000.0,"['Java', 'Spring Boot', 'Spring Framework', 'Oracle']"
687,"Linux Engineer (Veritas Cluster, Ansible)",JellyTech,,16000 20000,,,16000,20000.0,[]
688,MQ Administrator,JellyTech,mid,21000 25200,,,21000,25200.0,[]
689,Senior AWS Python Developer,ITDS Polska Sp. z o.o.,senior,21000 25200,"AWS, Python, Linux, Jenkins, Git, Ansible",Terraform,21000,25200.0,"['AWS', 'Python', 'Linux', 'Jenkins', 'Git', 'Ansible']"
690,Testing and Senior QA Specialist,ITDS Polska Sp. z o.o.,senior,18900 24150,,,18900,24150.0,[]
691,Machine Learning,ITDS Polska Sp. z o.o.,mid,18900 23100,"Java, Python, Jenkins, Ansible, Git",,18900,23100.0,"['Java', 'Python', 'Jenkins', 'Ansible', 'Git']"
692,Lead Cloud Security Engineer,ITDS Polska Sp. z o.o.,senior,21000 25200,"Microsoft Azure, Amazon Web Services, Google Cloud Platform, Alibaba Cloud, Python, Bash, PowerShell","Jenkins, Terraform, Ansible, GitHub, Nexus",21000,25200.0,"['Microsoft Azure', 'Amazon Web Services', 'Google Cloud Platform', 'Alibaba Cloud', 'Python', 'Bash', 'PowerShell']"
695,Data Engineer,ITDS Polska Sp. z o.o.,,18900 24150,,,18900,24150.0,[]
700,Sharepoint Developer,ITDS Polska Sp. z o.o.,senior,26250 27300,".NET, C#, React.js, SharePoint, TypeScript, SQL, NoSQL, Git, Microsoft Office 365, GitHub, CSS, Azure DevOps",,26250,27300.0,"['.NET', 'C#', 'React.js', 'SharePoint', 'TypeScript', 'SQL', 'NoSQL', 'Git', 'Microsoft Office 365', 'GitHub', 'CSS', 'Azure DevOps']"
702,Data Analyst/Data Engineering Team Lead,DataFeedWatch by Cart.,manager,12000 19000,"Python, SQL",,12000,19000.0,"['Python', 'SQL']"
714,Informatyk,Mazur i Wspólnicy Kancelaria Adwokatów i Radców Prawnych S.K.A.,mid,8000 9000,SharePoint,"Microsoft Dynamics, Active Directory, Microsoft Access",8000,9000.0,['SharePoint']
715,Senior SAP CRM Developer,7N Sp. z o.o.,senior,26880 33600,"SAP, SAP ABAP, SAP HANA",,26880,33600.0,"['SAP', 'SAP ABAP', 'SAP HANA']"
723,Xamarin Developer,ITFS sp. z o.o.,mid,22400 27200,"Xamarin, C#, .NET, Git",,22400,27200.0,"['Xamarin', 'C#', '.NET', 'Git']"
727,Software Engineer (Python Back-end),Adtran,mid,12000 17000,Python,,12000,17000.0,['Python']
732,Starszy programista / programistka gier,IMAGE POWER S.A.,senior,10000 20000,"Unreal Engine, C++","SVN, C#, Unity 3D",10000,20000.0,"['Unreal Engine', 'C++']"
733,Software Engineering Team Lead,VAILLANT GROUP BUSINESS SERVICES POLAND Sp. z o.o.,manager,24000 26000,,,24000,26000.0,[]
739,Lead Embedded Automotive Software Engineer,Grape Up Sp. z o.o.,,19800 37800,,,19800,37800.0,[]
744,Business Solutions Senior Data Engineer,CLOUDFIDE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,senior,26000 42000,"SQL, Microsoft SQL Server, PostgreSQL, Python, Microsoft Azure, CI/CD, Data Lake, DWH, ETL/ELT","Azure DevOps, Apache Spark, Databricks, Apache Airflow",26000,42000.0,"['SQL', 'Microsoft SQL Server', 'PostgreSQL', 'Python', 'Microsoft Azure', 'CI/CD', 'Data Lake', 'DWH', 'ETL/ELT']"
754,Software Engineer (SaaS Back-End AWS),Adtran,mid,12000 17000,Python,,12000,17000.0,['Python']
760,Cloud DevOps Engineer,SIMPLELOGIC sp. z o.o.,mid,22400 28800,"Python, Linux, Microsoft Azure, AWS, Docker, Git, Terraform, Prometheus, Grafana, Zabbix, Nagios","PowerShell, Java, Jenkins, Kubernetes, Ansible",22400,28800.0,"['Python', 'Linux', 'Microsoft Azure', 'AWS', 'Docker', 'Git', 'Terraform', 'Prometheus', 'Grafana', 'Zabbix', 'Nagios']"
763,Architekt Systemowy DevOps,SIMPLELOGIC sp. z o.o.,senior,32000 38400,"Bitbucket, Bamboo, Artifactory, Nexus, SonarCube, Maven, Git","PowerShell, Java, Jenkins, Kubernetes, Ansible",32000,38400.0,"['Bitbucket', 'Bamboo', 'Artifactory', 'Nexus', 'SonarCube', 'Maven', 'Git']"
764,Analityk Systemowy - AML,SIMPLELOGIC sp. z o.o.,mid,22400 25600,"Bitbucket, Bamboo, Artifactory, Nexus, SonarCube, Maven, Git, AML","PowerShell, Java, Jenkins, Kubernetes, Ansible",22400,25600.0,"['Bitbucket', 'Bamboo', 'Artifactory', 'Nexus', 'SonarCube', 'Maven', 'Git', 'AML']"
767,Full Stack Java Developer,SIMPLELOGIC sp. z o.o.,mid,22400 25600,"Java, Spring Boot, Spring Framework, Hibernate, PostgreSQL, Kafka, AVRO, Angular, HTML, CSS","Struts, EJB, JSP, Kubernetes, Docker",22400,25600.0,"['Java', 'Spring Boot', 'Spring Framework', 'Hibernate', 'PostgreSQL', 'Kafka', 'AVRO', 'Angular', 'HTML', 'CSS']"
768,E-commerce IT Business Analyst,Voucherify,mid,16000 22000,,,16000,22000.0,[]
769,Senior Data Scientist,ITFS sp. z o.o.,mid,25600 30400,"SQL, Python",,25600,30400.0,"['SQL', 'Python']"
770,WordPress Developer,Brantt,mid,10000 16000,"WordPress, WooCommerce, React.js, JavaScript, PHP, HTML, CSS, Git",,10000,16000.0,"['WordPress', 'WooCommerce', 'React.js', 'JavaScript', 'PHP', 'HTML', 'CSS', 'Git']"
771,Java Developer,ITFS sp. z o.o.,mid,16000 19200,"Java, Maven, Spring Boot, AWS",,16000,19200.0,"['Java', 'Maven', 'Spring Boot', 'AWS']"
773,Senior SAP SD Consultant,7N Sp. z o.o.,senior,28560 33600,"SAP SD, EDI","SAP ABAP, SAP HANA, SAP S, SolMan",28560,33600.0,"['SAP SD', 'EDI']"
776,Senior Frontend Developer (React),Consileon Sp. z o. o.,senior,18000 24000,"React.js, JavaScript, TypeScript",,18000,24000.0,"['React.js', 'JavaScript', 'TypeScript']"
779,Senior - Lead React Developer,Sopra Steria Polska Sp. z o.o.,senior,15000 32000,"JavaScript, TypeScript, Jira",,15000,32000.0,"['JavaScript', 'TypeScript', 'Jira']"
785,IT Team Leader,Hart Sp. z o.o.,,18000 20000,,,18000,20000.0,[]
790,Java Developer,PEOPLE TRUST SP. Z O.O.,mid,22200 25600,"Java, Spring Boot","Kubernetes, Ansible, MongoDB",22200,25600.0,"['Java', 'Spring Boot']"
792,Senior UI/UX Designer,CRESTT sp. z o.o.,senior,18000 20000,"Figma, Jira, Asana, Confluence, Sketch, Abstract, ZeroHeight",,18000,20000.0,"['Figma', 'Jira', 'Asana', 'Confluence', 'Sketch', 'Abstract', 'ZeroHeight']"
793,Business Analyst,CRESTT sp. z o.o.,mid,10000 23200,"UML, BPMN, SQL",,10000,23200.0,"['UML', 'BPMN', 'SQL']"
804,PMO Specialist,B2B.NET S.A.,mid,8000 13600,"SharePoint, Confluence",,8000,13600.0,"['SharePoint', 'Confluence']"
805,Backend .NET Developer,IT-SOLVE,mid,12800 19200,".NET, Microsoft SQL Server, Microsoft Azure, AWS, Git, RESTApi, ASP.NET Core","JavaScript, HTML, CSS, MongoDB, NoSQL",12800,19200.0,"['.NET', 'Microsoft SQL Server', 'Microsoft Azure', 'AWS', 'Git', 'RESTApi', 'ASP.NET Core']"
810,Senior Java Engineer,Emerge Soft Sp. z o.o.,mid,18000 26000,"Java, Spring Boot, MySQL","Kotlin, akka, Hazelcast, Elasticsearch, Kafka, RabbitMQ, Consul, Google Cloud Platform, BigQuery",18000,26000.0,"['Java', 'Spring Boot', 'MySQL']"
815,Database Administrator,Product Madness,mid,12500 14000,"MySQL, PostgreSQL, MongoDB, Snowflake Data Cloud","Ansible, Terraform, Google Cloud Platform, AWS, Docker, Kubernetes",12500,14000.0,"['MySQL', 'PostgreSQL', 'MongoDB', 'Snowflake Data Cloud']"
818,Data Integration & Processing Specialist,CRESTT sp. z o.o.,mid,12000 15000,"SQL, T-SQL, JavaScript","Hadoop, UML, BPMN",12000,15000.0,"['SQL', 'T-SQL', 'JavaScript']"
822,Programista PHP,3e Software House,mid,8000 14000,,,8000,14000.0,[]
828,Analityk Systemowy,ITFS sp. z o.o.,mid,17600 20800,"Jira, Confluence, Enterprise Architect",,17600,20800.0,"['Jira', 'Confluence', 'Enterprise Architect']"
839,Specjalista ds. wsparcia technicznego,Giganci Programowania sp. z o.o.,,4000 4800,,,4000,4800.0,[]
841,Front-end (VUE) Developer,IT-SOLVE,mid,12800 17120,"Vue.js, JavaScript, HTML, CSS, Git, RESTApi, Angielski B2","TypeScript, .NET, Microsoft SQL Server",12800,17120.0,"['Vue.js', 'JavaScript', 'HTML', 'CSS', 'Git', 'RESTApi', 'Angielski B2']"
845,Senior PHP (Symfony) Developer,BITBAG sp. z o.o.,senior,15000 20000,"PHP, Symfony, Git, REST API, Doctrine","PHPUnit, Sylius, Shopware, Pimcore",15000,20000.0,"['PHP', 'Symfony', 'Git', 'REST API', 'Doctrine']"
849,Remote Python Developer,SQ3 Partners,mid,18568 21456,"Python, Angielski, (C1), Polski, (NATIVE)","Java, C#, Docker, Scala, DevOps, Cloud, development, NoSQL, Kubernetes, CI/CD, Web, development, Multithreading, TigerGraph, Neo4j",18568,21456.0,"['Python', 'Angielski', '(C1)', 'Polski', '(NATIVE)']"
850,Cloud DevOps,Hitachi Energy,mid,19000 28000,"DevOps, Linux, Windows, VMware, Docker, Kubernetes, Angielski","SonarQube, ArgoCD, AWS, GCP, CI/CD, Git",19000,28000.0,"['DevOps', 'Linux', 'Windows', 'VMware', 'Docker', 'Kubernetes', 'Angielski']"
851,Kubernetes Engineer,C.H. Robinson,mid,20000 25000,"Kubernetes, Terraform, Docker, Linux, Azure, Cloud, Load, balancing, Angielski, (C1)","Python, Bash, CI/CD, Nginx, Prometheus",20000,25000.0,"['Kubernetes', 'Terraform', 'Docker', 'Linux', 'Azure', 'Cloud', 'Load', 'balancing', 'Angielski', '(C1)']"
852,Remote Back-end Python Developer,ALGOTEQUE,senior,16000 25000,"Python, Django, PostgreSQL, API, AWS, Cloud, GitHub, GitHub, Actions, Angielski, (B2)",Go,16000,25000.0,"['Python', 'Django', 'PostgreSQL', 'API', 'AWS', 'Cloud', 'GitHub', 'GitHub', 'Actions', 'Angielski', '(B2)']"
